2019-09-12 23:50:46,b'RT @PolStatsUS: 2020 Democratic Primary voting intention\n\nJoe Biden: 28% (=)\nBernie Sanders: 21% (+6)\nElizabeth Warren: 12% (+3)\nKamala Har\xe2\x80\xa6'
2019-09-12 23:50:39,"b""RT @KPRC2Vincent: President Trump supporters are outside TSU, the site of the Democratic Debate in Houston tonight.\n\nThey're using music to\xe2\x80\xa6"""
2019-09-12 23:50:29,b'RT @Colvin4Service: The majority of voters support candidates who want to expand #nationalservice. Where do the #2020Election candidates st\xe2\x80\xa6'
2019-09-12 23:50:24,"b'RT @marynewmanphoto: So far, Beto supporters have the biggest presence outside the debate stage #DemocraticDebate #2020Election https://t.c\xe2\x80\xa6'"
2019-09-12 23:50:13,b'RT @Btown4Pete: IT\xe2\x80\x99S ALMOST TIME FOR THE DEBATE!! #2020Election #DebateNight #DemDebate3 #TeamPete #PeteButtigieg @PeteForAmerica https://t\xe2\x80\xa6'
2019-09-12 23:49:55,b'2020 Democratic Primary voting intention\n\nJoe Biden: 38%\nElizabeth Warren: 15%\nBernie Sanders: 14%\nKamala Harris: 5\xe2\x80\xa6 https://t.co/SibzU3kBMp'
2019-09-12 23:49:52,b'RT @Electra661: Don\xe2\x80\x99t miss the #Friday @jfradioshow #PoliticalDisruptor segment with guest Michael Bluemling @4USAFreedom at 9:35 AM EST he\xe2\x80\xa6'
2019-09-12 23:49:41,b'RT @jennybethm: At least some of @TheDemocrats are finally coming around and realizing our great President @realDonaldTrump cannot be beat!\xe2\x80\xa6'
2019-09-12 23:49:34,b'RT @Electra661: Don\xe2\x80\x99t miss the #Friday @jfradioshow #PoliticalDisruptor segment with guest Michael Bluemling @4USAFreedom at 9:35 AM EST he\xe2\x80\xa6'
2019-09-12 23:48:25,b'RT @TravisRuger: Your daily reminder that #BernieBeatsTrump.              #2020Election #TuesdayMotivation #yangbeatstrump #Bernie2020 http\xe2\x80\xa6'
2019-09-12 23:48:14,b'2020 Democratic Primary voting intention\n\nJoe Biden: 28% (=)\nBernie Sanders: 21% (+6)\nElizabeth Warren: 12% (+3)\nKa\xe2\x80\xa6 https://t.co/O2RRCZIvLM'
2019-09-12 23:48:06,b'#TUCKER What does the #LEFT have in mind for #US Following #2020Election  #LiberalParadise\n\nhttps://t.co/JwvNOWEsp8'
2019-09-12 23:47:36,b'Tonight is the Democratic Debate! Live From Houston! #Vote2020 #2020Election #BlueWave'
2019-09-12 23:47:26,"b'RT @marynewmanphoto: So far, Beto supporters have the biggest presence outside the debate stage #DemocraticDebate #2020Election https://t.c\xe2\x80\xa6'"
2019-09-12 23:47:18,"b""RT @KPRC2Vincent: President Trump supporters are outside TSU, the site of the Democratic Debate in Houston tonight.\n\nThey're using music to\xe2\x80\xa6"""
2019-09-12 23:45:59,b'@TulsiGabbard needs to be in the debate @DNC. She\xe2\x80\x99s your only shot at winning the #2020Election'
2019-09-12 23:45:33,"b'Concerning their actions this week, I would like to personally thank the #NCGOP for something. You have given me so\xe2\x80\xa6 https://t.co/nuWPxQUewd'"
2019-09-12 23:45:31,"b'RT @marynewmanphoto: So far, Beto supporters have the biggest presence outside the debate stage #DemocraticDebate #2020Election https://t.c\xe2\x80\xa6'"
2019-09-12 23:45:24,b'RT @Electra661: Don\xe2\x80\x99t miss the #Friday @jfradioshow #PoliticalDisruptor segment with guest Michael Bluemling @4USAFreedom at 9:35 AM EST he\xe2\x80\xa6'
2019-09-12 23:45:23,b'RT @EpochTimes: \xe2\x80\x9cEvery top Democrat currently running\xe2\x80\xa6has vilified the police and made criminals out to be victims.\xe2\x80\x9d\n\nA #PoliceUnion repres\xe2\x80\xa6'
2019-09-12 23:45:20,"b'@JohnDelaney spends $0 on paid social media last week (9/1-9/8) after spending $3,536 the week before. Is this a si\xe2\x80\xa6 https://t.co/bpzOs779Ga'"
