time_stamp,tweet_text,url
2019-09-12 23:59:41,"At 70+ years old there's only so much fuel you can put in the tank, especially with all that mileage #DemocraticDebate",[]
2019-09-12 23:59:41,"RT @maramcewin: This is how democracy is done

Pelosi has always been very clear. The process &amp; the rules of legislation must be followed.…",[]
2019-09-12 23:59:41,"#DemocraticDebate. ABC commentary before the debate is absolute trash.

""Why are young voters supporting candidates in their 70's?""

Ahh, because we're smart enough to sense who will fight for our interests not just who looks like us",[]
2019-09-12 23:59:40,"RT @demandprogress: Ahead of tonight's #DemocraticDebate, a coalition of major netroots groups is calling on all 2020 presidential candidat…",[]
2019-09-12 23:59:40,"RT @KyleKulinski: Turned on ABC News and the first thing I hear is ""this debate is not about policy specifics, it's about energy"". These id…",[]
2019-09-12 23:59:39,RT @shaunarrichards: I’d really love for Marianne Williamson to live tweet everyone’s auras as they walk out on stage. #DemDebate #Democrat…,[]
2019-09-12 23:59:39,"The ""leaders"" don't have fuel.. they are ready for bed. #DemocraticDebate",[]
2019-09-12 23:59:39,"RT @joelpollak: Hmm... no trash cans or recycling bins, perhaps for safety reasons, so security at ⁦@TexasSouthern⁩ are just tossing plasti…",[]
2019-09-12 23:59:39,"RT @hrtablaze: I don't need to watch the #DemocraticDebate to give you a recap. Pretty much goes like this : 

Open borders for illegals,…",[]
2019-09-12 23:59:39,RT @adamcbest: One thing I don’t want to hear from any candidate in tonight’s #DemocraticDebate is delusional nonsense about how as preside…,[]
2019-09-12 23:59:39,"RT @EarlOfEnough: #ThursdayThoughts ...

Ten people standing on a stage trying to get a word in edgewise isn't a #DemocraticDebate it's a T…",[]
2019-09-12 23:59:38,Warren &amp; Bernie are within reach of taking the lead. #DemocraticDebate #DemDebate https://t.co/hmC3gKBXFL,[]
2019-09-12 23:59:38,I can't believe they are still quoting Swalwell lmao #DemocraticDebate,[]
2019-09-12 23:59:38,Why do the commentators present like it’s a sports broadcast? #DemocraticDebate #2020,[]
2019-09-12 23:59:38,"RT @BookCd: Matt Dowd: ideology doesn't' matter

Rahm Emanuel: (why the fuck is he here?) 

Heidi Heitkamp: ideas aren't going to win again…",[]
2019-09-12 23:59:38,"Wheel of Fortune is very poetic before the debate. You don’t know what’s going on, but you have a dreadful feeling you’re going to lose. #DemocraticDebate",[]
2019-09-12 23:59:38,RT @joelpollak: Trump campaign banner flies over #DemocraticDebate at ⁦@TexasSouthern⁩: “Socialism will kill Houston’s economy! Vote Trump…,[]
2019-09-12 23:59:38,"@patriotic_giant I’ll give you $140k if you vote for me to run as the Democratic nominee send tweet. 

-Amy Klobuchar probably

#DemocraticDebate",[]
2019-09-12 23:59:37,"RT @hrtablaze: I don't need to watch the #DemocraticDebate to give you a recap. Pretty much goes like this : 

Open borders for illegals,…",[]
2019-09-12 23:59:37,I rather watch Water Boil or Paint dry.  #DemocraticDebate https://t.co/7FlqK1zSY9,[]
2019-09-12 23:59:37,"RT @w_terrence: At the #DemocraticDebate they will be talking about banning Double Cheese Burgers &amp; Fries!

I NEED EVERY AMERICAN TO HELP M…",[]
2019-09-12 23:59:36,RT @bourgeoisalien: Every single ABC commentator is a neoliberal hack. Not one progressive #DemocraticDebate,[]
2019-09-12 23:59:36,2 min warning #DemocraticDebate #DemDebate3 #BeatTrump https://t.co/r7u0L4TUFO,[]
2019-09-12 23:59:36,"RT @w_terrence: At the #DemocraticDebate they will be talking about banning Double Cheese Burgers &amp; Fries!

I NEED EVERY AMERICAN TO HELP M…",[]
2019-09-12 23:59:35,"RT @scrowder: BREAKING: Beto spotted arriving at #DemocraticDebate!

#CrowderDebateStream https://t.co/A6RdWvVeJy",[]
2019-09-12 23:59:35,"The top 2020 Democratic presidential candidates are finally on the same stage. 

Watch the #DemocraticDebate: https://t.co/QQ8kx2fbae","[{'url': 'https://t.co/QQ8kx2fbae', 'expanded_url': 'http://bit.ly/2O2iBMv', 'display_url': 'bit.ly/2O2iBMv', 'indices': [110, 133]}]"
2019-09-12 23:59:35,"If #Pewdiepie wants to donate to an organization that helps Jewish people but hasn't previously condemned him, might I suggest...

the Trump re-election campaign.

#DemocraticDebate
#DemDebate
#DemDebate3
https://t.co/rh0dON59CI","[{'url': 'https://t.co/rh0dON59CI', 'expanded_url': 'https://twitter.com/pewdiepie/status/1172204106271940609', 'display_url': 'twitter.com/pewdiepie/stat…', 'indices': [205, 228]}]"
2019-09-12 23:59:34,RT @realannapaulina: Here comes the pandering. #DemocraticDebate,[]
2019-09-12 23:59:34,"RT @w_terrence: At the #DemocraticDebate they will be talking about banning Double Cheese Burgers &amp; Fries!

I NEED EVERY AMERICAN TO HELP M…",[]
2019-09-12 23:59:34,Perversion of Justice ⁦@MiamiHerald⁩ #PerversionOfJustice #EpsteinTrumpScandal #DemocraticDebate #DemDebate  https://t.co/oeBy0wb2Z5,"[{'url': 'https://t.co/oeBy0wb2Z5', 'expanded_url': 'https://www.miamiherald.com/news/state/florida/article233704797.html', 'display_url': 'miamiherald.com/news/state/flo…', 'indices': [109, 132]}]"
2019-09-12 23:59:34,"RT @w_terrence: At the #DemocraticDebate they will be talking about banning Double Cheese Burgers &amp; Fries!

I NEED EVERY AMERICAN TO HELP M…",[]
2019-09-12 23:59:34,"RT @commondreams: Ahead of Thursday night's #DemocraticDebate, @BernieSanders  was the first candidate to sign @foodandwater 's pledge prom…",[]
2019-09-12 23:59:33,RT @nerobayarea: @ninaturner 👏 Yes 👏 yes 👏 hell yes. ❤️ #BernieBeatsTrump #DemDebate #DemocraticDebate https://t.co/zW789wWQG6,[]
2019-09-12 23:59:33,RT @marynewmanphoto: Plane flying over @TexasSouthern with a sign that reads “Socialism will kill Houston’s economy. Vote Trump 2020” #Demo…,[]
2019-09-12 23:59:33,"🚨 It's time 🚨

Let's go #TeamPete

⚡

#PhaseThree
#PeteButtigieg 
#DemocraticDebate",[]
2019-09-12 23:59:32,"It’s showtime, people! Counting on @ABC to host a fair debate! Excited to see my pick @AndrewYang! 

https://t.co/FzpnBXMOwX for all the info 

https://t.co/qlauHpE0ZG for quick video q&amp;a’s 

#DemDebate #DemocraticDebate #AndrewYang #YangGang #YangsDebateSurprise","[{'url': 'https://t.co/FzpnBXMOwX', 'expanded_url': 'http://Yang2020.com', 'display_url': 'Yang2020.com', 'indices': [101, 124]}, {'url': 'https://t.co/qlauHpE0ZG', 'expanded_url': 'http://YangLinks.com', 'display_url': 'YangLinks.com', 'indices': [144, 167]}]"
2019-09-12 23:59:32,"Who do you guys think will win the debate?

#DemocraticDebate 
#DemDebate",[]
2019-09-12 23:59:30,"RT @MomsDemand: Tonight, ten presidential hopefuls—all of whom received our 2020 Presidential Gun Sense Candidate distinction—will take the…",[]
2019-09-12 23:59:30,RT @funder: I will be 110% fully supporting the nominee for president. Retweet if you will too. Then buy our book series on the different c…,[]
2019-09-12 23:59:30,"RT @PatTheBerner: #DemocraticDebate
It matters that Warren isn't being truthful about taking big donors money. It matters that Warren is co…",[]
